Name,year,month,HN,HS,HS_gapfill,HS_gapfill_frac
Agnieres_en_devoluy,1964,10,,,0.483870967741936,1
Agnieres_en_devoluy,1964,11,,,2.2,1
Agnieres_en_devoluy,1964,12,,,10.9677419354839,1
Agnieres_en_devoluy,1965,1,,,48.7741935483871,1
Agnieres_en_devoluy,1965,2,,,42.4642857142857,1
Agnieres_en_devoluy,1965,3,,,26.7741935483871,1
Agnieres_en_devoluy,1965,4,,,1.43333333333333,1
Agnieres_en_devoluy,1965,5,,,,
Agnieres_en_devoluy,1965,6,,,,
Agnieres_en_devoluy,1965,7,,,,
Agnieres_en_devoluy,1965,8,,,,
Agnieres_en_devoluy,1965,9,,,,
Agnieres_en_devoluy,1965,10,,,,
Agnieres_en_devoluy,1965,11,,,3.88888888888889,0.9
Agnieres_en_devoluy,1965,12,,,23.6129032258065,1
Agnieres_en_devoluy,1966,1,,,59,1
Agnieres_en_devoluy,1966,2,,,42.7857142857143,1
Agnieres_en_devoluy,1966,3,,,22.1612903225806,1
Agnieres_en_devoluy,1966,4,,,1.06666666666667,1
Agnieres_en_devoluy,1966,5,,,,
Agnieres_en_devoluy,1966,6,,,,
Agnieres_en_devoluy,1966,7,,,,
Agnieres_en_devoluy,1966,8,,,,
Agnieres_en_devoluy,1966,9,,,,
Agnieres_en_devoluy,1966,10,,,,
Agnieres_en_devoluy,1966,11,,,,
Agnieres_en_devoluy,1966,12,,,31.3225806451613,1
Agnieres_en_devoluy,1967,1,,,46.8387096774194,1
Agnieres_en_devoluy,1967,2,,,38.1785714285714,1
Agnieres_en_devoluy,1967,3,,,9.41935483870968,1
Agnieres_en_devoluy,1967,4,,,0.266666666666667,1
Agnieres_en_devoluy,1967,5,,,,
Agnieres_en_devoluy,1967,6,,,,
Agnieres_en_devoluy,1967,7,,,,
Agnieres_en_devoluy,1967,8,,,,
Agnieres_en_devoluy,1967,9,,,,
Agnieres_en_devoluy,1967,10,,,,
Agnieres_en_devoluy,1967,11,,,,
Agnieres_en_devoluy,1967,12,,,9.09677419354839,1
Agnieres_en_devoluy,1968,1,,,90.6774193548387,1
Agnieres_en_devoluy,1968,2,,,68.6896551724138,1
Agnieres_en_devoluy,1968,3,,,33.6774193548387,1
Agnieres_en_devoluy,1968,4,,,0.9,1
Agnieres_en_devoluy,1968,5,,,,
Agnieres_en_devoluy,1968,6,,,,
Agnieres_en_devoluy,1968,7,,,,
Agnieres_en_devoluy,1968,8,,,,
Agnieres_en_devoluy,1968,9,,,,
Agnieres_en_devoluy,1968,10,,,,
Agnieres_en_devoluy,1968,11,34,8.73333333333333,8.73333333333333,0
Agnieres_en_devoluy,1968,12,60,9.58064516129032,9.58064516129032,0
Agnieres_en_devoluy,1969,1,40,33.5806451612903,33.5806451612903,0
Agnieres_en_devoluy,1969,2,58,45.6785714285714,45.6785714285714,0
Agnieres_en_devoluy,1969,3,18,18.5172413793103,18.0645161290323,0.0645161290322581
Agnieres_en_devoluy,1969,4,,0,0,0
Agnieres_en_devoluy,1969,5,,,,
Agnieres_en_devoluy,1969,6,,,,
Agnieres_en_devoluy,1969,7,,,,
Agnieres_en_devoluy,1969,8,,,,
Agnieres_en_devoluy,1969,9,,,,
Agnieres_en_devoluy,1969,10,0,0,0,0
Agnieres_en_devoluy,1969,11,13,1.66666666666667,1.66666666666667,0
